Language,Threads,Tasks,Repetition,Energy_Joules,Peak_Memory_KB_RSS,Real_Time_Seconds
c_gcc,16,100,1,115.71,1080,.75000000000000000000
c_gcc,16,100,2,114.90,1044,.75000000000000000000
c_gcc,16,100,3,114.88,1080,.75000000000000000000
c_gcc,16,100,4,114.90,1080,.75000000000000000000
c_gcc,16,100,5,114.87,1028,.75000000000000000000
c_gcc,16,100,6,115.02,1032,.75000000000000000000
c_gcc,16,100,7,114.60,1052,.75000000000000000000
c_gcc,16,100,8,114.56,1028,.75000000000000000000
c_gcc,16,100,9,114.92,1028,.75000000000000000000
c_gcc,16,100,10,114.81,1060,.75000000000000000000
c_gcc,32,100,1,85.92,1052,.43000000000000000000
c_gcc,32,100,2,85.00,0,.43000000000000000000
c_gcc,32,100,3,85.08,0,.43000000000000000000
c_gcc,32,100,4,85.51,1060,.43000000000000000000
c_gcc,32,100,5,85.63,1056,.43000000000000000000
c_gcc,32,100,6,85.02,1032,.43000000000000000000
c_gcc,32,100,7,85.42,0,.43000000000000000000
c_gcc,32,100,8,85.70,1084,.43000000000000000000
c_gcc,32,100,9,84.97,1032,.43000000000000000000
c_gcc,32,100,10,84.87,1048,.43000000000000000000
c_gcc,64,100,1,62.23,1052,.23000000000000000000
c_gcc,64,100,2,61.40,1032,.22000000000000000000
c_gcc,64,100,3,61.43,1060,.22000000000000000000
c_gcc,64,100,4,61.48,1060,.23000000000000000000
c_gcc,64,100,5,61.29,1028,.24000000000000000000
c_gcc,64,100,6,61.30,0,.23000000000000000000
c_gcc,64,100,7,61.18,1032,.23000000000000000000
c_gcc,64,100,8,61.60,1028,.22000000000000000000
c_gcc,64,100,9,61.46,1052,.24000000000000000000
c_gcc,64,100,10,61.31,1036,.23000000000000000000
c_gcc,2,1000,1,5033.62,1056,47.64000000000000000000
c_gcc,2,1000,2,5037.92,1080,47.57000000000000000000
c_gcc,2,1000,3,5043.18,1052,47.49000000000000000000
c_gcc,2,1000,4,5029.44,0,47.62000000000000000000
c_gcc,2,1000,5,5031.94,1048,47.55000000000000000000
c_gcc,2,1000,6,5041.81,1052,47.51000000000000000000
c_gcc,2,1000,7,5041.98,1060,47.97000000000000000000
c_gcc,2,1000,8,5072.30,1032,47.71000000000000000000
c_gcc,2,1000,9,5033.58,1080,47.65000000000000000000
c_gcc,2,1000,10,5034.20,1056,47.54000000000000000000
c_gcc,4,1000,1,2939.18,1052,23.82000000000000000000
c_gcc,4,1000,2,2927.84,1028,23.84000000000000000000
c_gcc,4,1000,3,2933.10,1056,23.76000000000000000000
c_gcc,4,1000,4,2936.53,1048,23.83000000000000000000
c_gcc,4,1000,5,2928.14,1052,23.75000000000000000000
c_gcc,4,1000,6,2931.28,1028,23.83000000000000000000
c_gcc,4,1000,7,2936.40,1052,23.75000000000000000000
c_gcc,4,1000,8,2936.60,1060,23.83000000000000000000
c_gcc,4,1000,9,2934.68,1048,23.82000000000000000000
c_gcc,4,1000,10,2930.20,1048,23.82000000000000000000
c_gcc,8,1000,1,1686.26,1032,13.60000000000000000000
c_gcc,8,1000,2,1678.15,1040,13.59000000000000000000
c_gcc,8,1000,3,1681.39,1044,13.59000000000000000000
c_gcc,8,1000,4,1680.07,1052,13.56000000000000000000
c_gcc,8,1000,5,1680.82,1052,13.56000000000000000000
c_gcc,8,1000,6,1676.24,1052,13.57000000000000000000
c_gcc,8,1000,7,1680.15,1060,13.58000000000000000000
c_gcc,8,1000,8,1679.60,1060,13.54000000000000000000
c_gcc,8,1000,9,1678.71,1076,13.56000000000000000000
c_gcc,8,1000,10,1677.23,1060,13.52000000000000000000
c_gcc,16,1000,1,1101.41,1048,6.80000000000000000000
c_gcc,16,1000,2,1099.03,1060,6.80000000000000000000
c_gcc,16,1000,3,1101.59,1052,6.80000000000000000000
c_gcc,16,1000,4,1100.87,1032,6.80000000000000000000
c_gcc,16,1000,5,1101.37,1052,6.80000000000000000000
c_gcc,16,1000,6,1101.42,1052,6.80000000000000000000
c_gcc,16,1000,7,1103.16,1040,6.80000000000000000000
c_gcc,16,1000,8,1101.32,0,6.80000000000000000000
c_gcc,16,1000,9,1107.24,1060,6.80000000000000000000
c_gcc,16,1000,10,1103.95,1076,6.80000000000000000000
c_gcc,32,1000,1,792.58,1052,3.45000000000000000000
c_gcc,32,1000,2,790.30,1060,3.45000000000000000000
c_gcc,32,1000,3,798.25,1032,3.45000000000000000000
c_gcc,32,1000,4,793.50,1036,3.45000000000000000000
c_gcc,32,1000,5,792.60,1052,3.45000000000000000000
c_gcc,32,1000,6,797.73,1036,3.45000000000000000000
c_gcc,32,1000,7,798.17,1080,3.45000000000000000000
c_gcc,32,1000,8,800.01,1052,3.45000000000000000000
c_gcc,32,1000,9,799.47,1036,3.45000000000000000000
c_gcc,32,1000,10,798.30,0,3.45000000000000000000
c_gcc,64,1000,1,549.89,0,1.93000000000000000000
c_gcc,64,1000,2,547.89,1056,1.92000000000000000000
c_gcc,64,1000,3,547.67,1052,1.93000000000000000000
c_gcc,64,1000,4,546.62,0,1.96000000000000000000
c_gcc,64,1000,5,546.83,1028,1.93000000000000000000
c_gcc,64,1000,6,546.29,1052,1.94000000000000000000
c_gcc,64,1000,7,548.28,1080,1.92000000000000000000
c_gcc,64,1000,8,547.31,1052,1.94000000000000000000
c_gcc,64,1000,9,547.93,1056,1.92000000000000000000
c_gcc,64,1000,10,548.24,0,1.93000000000000000000
c_gcc,2,10000,1,50697.46,1032,476.54000000000000000000
c_gcc,2,10000,2,50547.30,1048,476.96000000000000000000
c_gcc,2,10000,3,50531.60,1080,476.41000000000000000000
c_gcc,2,10000,4,50507.78,1056,476.10000000000000000000
c_gcc,2,10000,5,50507.96,1052,477.37000000000000000000
c_gcc,2,10000,6,50469.96,1048,477.51000000000000000000
c_gcc,2,10000,7,50487.22,1048,476.18000000000000000000
c_gcc,2,10000,8,50514.97,1036,476.42000000000000000000
c_gcc,2,10000,9,50436.94,1052,476.63000000000000000000
c_gcc,2,10000,10,50569.97,1060,477.15000000000000000000
c_gcc,4,10000,1,29469.38,1036,239.27000000000000000000
c_gcc,4,10000,2,29496.49,1060,238.83000000000000000000
c_gcc,4,10000,3,29495.68,1056,238.38000000000000000000
c_gcc,4,10000,4,29490.11,1060,238.26000000000000000000
c_gcc,4,10000,5,29483.89,1048,238.44000000000000000000
c_gcc,4,10000,6,29467.05,1040,238.34000000000000000000
c_gcc,4,10000,7,29426.84,1048,238.30000000000000000000
c_gcc,4,10000,8,29461.25,1028,238.15000000000000000000
c_gcc,4,10000,9,29420.94,1048,237.95000000000000000000
c_gcc,4,10000,10,29481.64,1052,238.07000000000000000000
c_gcc,8,10000,1,16860.83,1036,135.75000000000000000000
c_gcc,8,10000,2,16860.06,1048,135.64000000000000000000
c_gcc,8,10000,3,16829.05,1036,135.72000000000000000000
c_gcc,8,10000,4,16817.98,1080,135.53000000000000000000
c_gcc,8,10000,5,16776.44,1060,135.78000000000000000000
c_gcc,8,10000,6,16877.31,1048,135.93000000000000000000
c_gcc,8,10000,7,16845.35,1052,135.73000000000000000000
c_gcc,8,10000,8,16838.96,1048,135.54000000000000000000
c_gcc,8,10000,9,16702.11,1048,135.57000000000000000000
c_gcc,8,10000,10,16666.06,1036,135.26000000000000000000
c_gcc,16,10000,1,11008.50,1048,67.78000000000000000000
c_gcc,16,10000,2,11019.16,1036,67.68000000000000000000
c_gcc,16,10000,3,11016.91,1048,67.73000000000000000000
c_gcc,16,10000,4,11018.23,0,67.72000000000000000000
c_gcc,16,10000,5,10992.02,0,67.69000000000000000000
c_gcc,16,10000,6,11000.84,1056,67.76000000000000000000
c_gcc,16,10000,7,11023.21,1060,67.72000000000000000000
c_gcc,16,10000,8,11020.35,1028,67.66000000000000000000
c_gcc,16,10000,9,11005.81,1060,67.66000000000000000000
c_gcc,16,10000,10,10998.98,1060,67.73000000000000000000
c_gcc,32,10000,1,7883.91,1080,33.90000000000000000000
c_gcc,32,10000,2,7926.03,0,33.89000000000000000000
c_gcc,32,10000,3,7929.61,1052,33.90000000000000000000
c_gcc,32,10000,4,7964.37,1032,33.88000000000000000000
c_gcc,32,10000,5,7915.91,1036,33.90000000000000000000
c_gcc,32,10000,6,7941.45,1080,33.88000000000000000000
c_gcc,32,10000,7,7969.90,1036,33.91000000000000000000
c_gcc,32,10000,8,7977.74,1052,33.92000000000000000000
c_gcc,32,10000,9,7964.09,1048,33.97000000000000000000
c_gcc,32,10000,10,7986.95,1056,33.96000000000000000000
c_gcc,64,10000,1,5457.13,1048,19.12000000000000000000
c_gcc,64,10000,2,5458.74,1052,19.13000000000000000000
c_gcc,64,10000,3,5465.38,1048,19.15000000000000000000
c_gcc,64,10000,4,5467.77,0,19.17000000000000000000
c_gcc,64,10000,5,5464.73,1048,19.15000000000000000000
c_gcc,64,10000,6,5471.23,1052,19.18000000000000000000
c_gcc,64,10000,7,5471.95,1056,19.16000000000000000000
c_gcc,64,10000,8,5471.06,1028,19.17000000000000000000
c_gcc,64,10000,9,5469.46,1048,19.17000000000000000000
c_gcc,64,10000,10,5472.55,1052,19.18000000000000000000
zig,2,100,1,26.97,0,.21000000000000000000
zig,2,100,2,22.44,0,.21000000000000000000
zig,2,100,3,22.22,0,.21000000000000000000
zig,2,100,4,21.93,0,.21000000000000000000
zig,2,100,5,21.90,0,.21000000000000000000
zig,2,100,6,22.08,0,.21000000000000000000
zig,2,100,7,21.89,0,.21000000000000000000
zig,2,100,8,21.69,2080,.21000000000000000000
zig,2,100,9,21.88,0,.21000000000000000000
zig,2,100,10,21.83,0,.22000000000000000000
zig,4,100,1,24.77,0,.22000000000000000000
zig,4,100,2,24.65,0,.22000000000000000000
zig,4,100,3,24.65,0,.22000000000000000000
zig,4,100,4,24.58,0,.22000000000000000000
zig,4,100,5,24.70,0,.22000000000000000000
zig,4,100,6,24.60,0,.22000000000000000000
zig,4,100,7,24.54,0,.22000000000000000000
zig,4,100,8,24.67,0,.22000000000000000000
zig,4,100,9,24.60,0,.22000000000000000000
zig,4,100,10,24.53,0,.22000000000000000000
zig,8,100,1,28.49,0,.23000000000000000000
zig,8,100,2,28.38,0,.24000000000000000000
zig,8,100,3,28.50,0,.23000000000000000000
zig,8,100,4,28.47,0,.24000000000000000000
zig,8,100,5,28.55,0,.24000000000000000000
zig,8,100,6,28.40,0,.24000000000000000000
zig,8,100,7,28.57,0,.23000000000000000000
zig,8,100,8,28.65,0,.23000000000000000000
zig,8,100,9,28.46,0,.24000000000000000000
zig,8,100,10,28.52,0,.24000000000000000000
zig,16,100,1,36.80,0,.24000000000000000000
zig,16,100,2,36.49,0,.24000000000000000000
zig,16,100,3,37.67,0,.24000000000000000000
zig,16,100,4,37.79,0,.23000000000000000000
zig,16,100,5,36.58,0,.23000000000000000000
zig,16,100,6,36.37,2084,.24000000000000000000
zig,16,100,7,36.40,0,.24000000000000000000
zig,16,100,8,36.88,0,.24000000000000000000
zig,16,100,9,36.85,0,.23000000000000000000
zig,16,100,10,37.33,0,.24000000000000000000
zig,32,100,1,51.23,0,.23000000000000000000
zig,32,100,2,51.06,0,.23000000000000000000
zig,32,100,3,50.97,0,.24000000000000000000
zig,32,100,4,51.27,0,.24000000000000000000
zig,32,100,5,50.85,0,.24000000000000000000
zig,32,100,6,50.97,0,.24000000000000000000
zig,32,100,7,51.25,0,.23000000000000000000
zig,32,100,8,50.94,2084,.24000000000000000000
zig,32,100,9,51.04,0,.24000000000000000000
zig,32,100,10,51.62,0,.24000000000000000000
zig,64,100,1,73.67,0,.25000000000000000000
zig,64,100,2,73.77,0,.25000000000000000000
zig,64,100,3,73.96,0,.25000000000000000000
zig,64,100,4,74.11,0,.25000000000000000000
zig,64,100,5,74.00,0,.25000000000000000000
zig,64,100,6,73.62,2344,.32000000000000000000
zig,64,100,7,73.65,0,.25000000000000000000
zig,64,100,8,73.64,0,.25000000000000000000
zig,64,100,9,73.63,2132,.25000000000000000000
zig,64,100,10,73.77,2216,.33000000000000000000
zig,2,1000,1,25.18,0,.21000000000000000000
zig,2,1000,2,22.00,0,.21000000000000000000
zig,2,1000,3,22.15,0,.21000000000000000000
zig,2,1000,4,21.91,0,.21000000000000000000
zig,2,1000,5,21.59,0,.21000000000000000000
zig,2,1000,6,21.79,0,.21000000000000000000
zig,2,1000,7,21.94,0,.21000000000000000000
zig,2,1000,8,22.01,0,.22000000000000000000
zig,2,1000,9,21.65,0,.21000000000000000000
zig,2,1000,10,21.92,0,.21000000000000000000
zig,4,1000,1,24.86,0,.22000000000000000000
zig,4,1000,2,24.62,0,.22000000000000000000
zig,4,1000,3,24.69,0,.22000000000000000000
zig,4,1000,4,24.57,0,.23000000000000000000
zig,4,1000,5,24.63,0,.22000000000000000000
zig,4,1000,6,24.57,0,.22000000000000000000
zig,4,1000,7,24.51,0,.21000000000000000000
zig,4,1000,8,24.62,0,.22000000000000000000
zig,4,1000,9,24.61,0,.22000000000000000000
zig,4,1000,10,24.62,0,.22000000000000000000
zig,8,1000,1,28.84,2080,.23000000000000000000
zig,8,1000,2,28.53,0,.24000000000000000000
zig,8,1000,3,28.99,0,.24000000000000000000
zig,8,1000,4,28.40,0,.23000000000000000000
zig,8,1000,5,28.39,0,.23000000000000000000
zig,8,1000,6,28.72,0,.24000000000000000000
zig,8,1000,7,28.49,0,.24000000000000000000
zig,8,1000,8,28.69,0,.23000000000000000000
zig,8,1000,9,28.47,0,.23000000000000000000
zig,8,1000,10,28.60,0,.23000000000000000000
zig,16,1000,1,37.07,0,.24000000000000000000
zig,16,1000,2,36.37,0,.24000000000000000000
zig,16,1000,3,38.27,0,.24000000000000000000
zig,16,1000,4,36.00,0,.23000000000000000000
zig,16,1000,5,36.36,0,.23000000000000000000
zig,16,1000,6,36.42,0,.23000000000000000000
zig,16,1000,7,37.52,0,.23000000000000000000
zig,16,1000,8,36.50,0,.24000000000000000000
zig,16,1000,9,36.94,0,.23000000000000000000
zig,16,1000,10,36.08,0,.23000000000000000000
zig,32,1000,1,51.13,0,.24000000000000000000
zig,32,1000,2,51.12,0,.24000000000000000000
zig,32,1000,3,50.86,0,.24000000000000000000
zig,32,1000,4,50.55,0,.24000000000000000000
zig,32,1000,5,53.64,0,.24000000000000000000
zig,32,1000,6,51.49,0,.24000000000000000000
zig,32,1000,7,51.57,2084,.23000000000000000000
zig,32,1000,8,51.37,0,.24000000000000000000
zig,32,1000,9,50.89,0,.24000000000000000000
zig,32,1000,10,51.02,0,.23000000000000000000
zig,64,1000,1,73.54,0,.25000000000000000000
zig,64,1000,2,73.74,0,.25000000000000000000
zig,64,1000,3,73.38,0,.25000000000000000000
zig,64,1000,4,73.72,0,.25000000000000000000
zig,64,1000,5,73.59,2160,.25000000000000000000
zig,64,1000,6,82.83,0,.25000000000000000000
